stelle,zeichen_code,zeichen_original,position,bedeutung,normen,verwendung_ende
BVerfG,BvO ,BvO ,hauptzeichen,Fortgeltung vorkonstitutionellen Rechts als Bundesrecht,Art. 126 GG,NA
BVerfG,BvP ,BvP ,hauptzeichen,Sonstige durch Bundesrecht zugewiesene Verfahren,Art. 93 III GG,NA
BVerfG,BvQ ,BvQ ,hauptzeichen,Einstweilige Anordnungen,§ 32 BVerfGG,NA
BVerfG,BvR ,BvR ,hauptzeichen,Verfassungsbeschwerden; Kommunalverfassungsbeschwerden,Art. 93 I Nr.4a GG; Art. 93 I Nr.4b GG,NA
BVerfG,BvT ,BvT ,hauptzeichen,Sonstige Verfahren,NA,NA
BVerfG,PBvS ,PBvS ,hauptzeichen,Beendigung des Richteramtes am Bundesverfassungsgericht,§ 105 BVerfGG,NA
BVerfG,PBvU ,PBvU ,hauptzeichen,Plenarentscheidungen,§ 16 BVerfGG,NA
BVerfG,PBvV ,PBvV ,hauptzeichen,Rechtsgutachten,§ 97 BVerfGG a.F.,1956
BVerfG,PKH ,PKH ,hauptzeichen,Prozesskostenhilfe,NA,NA
BVerfG,Vz ,Vz ,hauptzeichen,Verzögerungsbeschwerde,§ 97b BVerfGG,NA
BGH,AK,AK ,hauptzeichen,Aktenkontrolle für Haftprüfungsverfahren,NA,NA
BGH,AnwSt,AnwSt,hauptzeichen,Anträge auf Einleitung des anwaltsgerichtlichen Verfahrens und Beschwerden in Ordnungsmittelverfahren gegen Rechtsanwälte beim Bundesgerichtshof,NA,NA
BGH,AnwStB,AnwSt(B) ,hauptzeichen,Beschwerden gegen die Nichtzulassung der Revision und Beschwerden gegen Entscheidungen eines Anwaltsgerichtshofes,NA,NA
BGH,AnwStR,AnwSt(R) ,hauptzeichen,Revisionen gegen Urteile eines Anwaltsgerichtshofes,§ 145 BRAO,NA
GBA,AnwSt,AnwSt,hauptzeichen,Anträge auf Einleitung des anwaltsgerichtlichen Verfahrens und Beschwerden in Ordnungsmittelverfahren gegen Rechtsanwälte beim Bundesgerichtshof,NA,NA
GBA,AnwStB,AnwSt(B) ,hauptzeichen,Beschwerden gegen die Nichtzulassung der Revision und Beschwerden gegen Entscheidungen eines Anwaltsgerichtshofes,NA,NA
GBA,AnwStR,AnwSt(R) ,hauptzeichen,Revisionen gegen Urteile eines Anwaltsgerichtshofes,NA,NA
BGH,AnwZ,AnwZ ,hauptzeichen,Klagen über Entscheidungen in Zulassungssachen oder gegen sonstige Verwaltungsakte betreffend Rechtsanwälte beim Bundesgerichtshof,NA,NA
BGH,AnwZB,AnwZ(B) ,hauptzeichen,Beschwerden gegen Entscheidungen eines Anwaltsgerichtshofes,NA,NA
BGH,AnwZBrfg,AnwZ(Brfg) ,hauptzeichen,Berufungen und Anträge auf Zulassung der Berufung gegen Entscheidungen eines Anwaltsgerichtshofes,NA,NA
BGH,AnwZP,AnwZ(P) ,hauptzeichen,Klagen über die Anfechtung von Wahlen und Beschlüssen der Rechtsanwaltskammer beim BGH und der Bundesrechtsanwaltskammer,NA,NA
BGH,AR,AR,hauptzeichen,Allgemeines Register,NA,NA
GBA,AR,AR,hauptzeichen,Allgemeines Register,NA,NA
BGH,ARs,ARs ,hauptzeichen,Allgemeines Register und Gerichtsstandsbestimmungen (Strafsachen),NA,NA
GBA,ARP,ARP,hauptzeichen,Allgemeines Register (Staatsschutzstrafsachen),NA,NA
BGH,ARAnw,AR(Anw) ,hauptzeichen,Allgemeines Register (Anwaltssachen),NA,NA
GBA,AREnw,AR(Enw) ,hauptzeichen,Rechtsbeschwerden in Bußgeldverfahren nach dem EnWG,NA,NA
GBA,ARKart ,AR(Kart) ,hauptzeichen,Rechtsbeschwerden in Kartellbußgeldverfahren,NA,NA
BGH,ARNot,AR(Not) ,hauptzeichen,Allgemeines Register (Notarsachen),NA,NA
BGH,ARRi,AR(Ri) ,hauptzeichen,Allgemeines Register (Dienstgericht des Bundes),NA,NA
BGH,ARsVollz,AR(Vollz) ,hauptzeichen,Vorlegungssachen (Strafvollzugssachen),NA,NA
BGH,ARVS,AR(VS) ,hauptzeichen,Entscheidungen über Justizverwaltungsakte (Strafsachen),NA,NA
BGH,ARVZ,AR(VZ) ,hauptzeichen,Entscheidungen über Justizverwaltungsakte (Zivilsachen),§ 29 EGGVG,NA
BGH,ARZ,ARZ ,hauptzeichen,Allgemeines Register und Gerichtsstandsbestimmungen (Zivilsachen),NA,NA
GBA,BAusl,BAusl,hauptzeichen,Auslieferungssachen,NA,NA
BGH,BGs,BGs ,hauptzeichen,Einzelne richterliche Anordnungen des Ermittlungsrichters (Strafsachen),NA,NA
GBA,BGns,BGns,hauptzeichen,Gnadensachen,NA,NA
GBA,BJs,BJs,hauptzeichen,Ermittlungsverfahren des Generalbundesanwalts beim Bundesgerichtshof,NA,NA
BGH,BLw,BLw ,hauptzeichen,Rechtsbeschwerden in Landwirtschaftssachen der freiwilligen Gerichtsbarkeit,NA,NA
BGH,EnRB,EnRB,hauptzeichen,Rechtsbeschwerden in Bußgeldverfahren nach dem EnWG,§ 99 EnWG,NA
BGH,EnVR,EnVR ,hauptzeichen,Rechtsbeschwerden in energiewirtschaftsrechtlichen Verwaltungssachen nach dem EnWG,NA,NA
BGH,EnVZ,EnVZ ,hauptzeichen,Nichtzulassungsbeschwerden in energiewirtschaftsrechtlichen Verwaltungssachen nach dem EnWG,NA,NA
BGH,EnZA,EnZA,hauptzeichen,Anträge außerhalb eines in der Rechtsmittelinstanz anhängigen Rechtsstreits in bürgerlichen Rechtsstreitigkeiten nach dem EnWG,NA,NA
BGH,EnZB,EnZB ,hauptzeichen,Rechtsbeschwerden und Beschwerden in bürgerlichen Rechtsstreitigkeiten nach dem EnWG,NA,NA
BGH,EnZR,EnZR ,hauptzeichen,"Revisionen, Beschwerden gegen die Nichtzulassung der Revision und Anträge auf Zulassung der Sprungrevision in bürgerlichen Rechtsstreitigkeiten nach dem EnWG",NA,NA
BGH,GmsOGB,GmSOGB ,hauptzeichen,Gemeinsamer Senat der Obersten Gerichtshöfe des Bundes,NA,NA
